Model,Accuracy,Precision,Recall,F1 Score
BoW + Naive Bayes,0.76,0.73,0.81,0.77
SBERT + LR,0.78,0.77,0.8,0.78
BioBERT + LR,0.82,0.82,0.82,0.82
InstructorXL + LR,0.81,0.81,0.81,0.81
